@RELATION TodosNos

@ATTRIBUTE  abort	NUMERIC
@ATTRIBUTE  blur	NUMERIC
@ATTRIBUTE  change	NUMERIC
@ATTRIBUTE  click	NUMERIC
@ATTRIBUTE  dblclick	NUMERIC
@ATTRIBUTE  dragdrop	NUMERIC
@ATTRIBUTE  error	NUMERIC
@ATTRIBUTE  focus	NUMERIC
@ATTRIBUTE  keydown	NUMERIC
@ATTRIBUTE  keypress	NUMERIC
@ATTRIBUTE  keyup	NUMERIC
@ATTRIBUTE  load	NUMERIC
@ATTRIBUTE  mousedown	NUMERIC
@ATTRIBUTE  mousemove	NUMERIC
@ATTRIBUTE  mouseout	NUMERIC
@ATTRIBUTE  mouseover	NUMERIC
@ATTRIBUTE  mouseup	NUMERIC
@ATTRIBUTE  move	NUMERIC
@ATTRIBUTE  reset	NUMERIC
@ATTRIBUTE  resize	NUMERIC
@ATTRIBUTE  select	NUMERIC
@ATTRIBUTE  submit	NUMERIC
@ATTRIBUTE  unload  NUMERIC
@ATTRIBUTE  CLASS {NONAT,YESAT}

@DATA
0,1,0,2,0,0,0,2,27,27,6,0,0,101,28,37,2,0,0,0,0,2,0,NONAT
0,0,0,0,0,0,0,8,0,0,3,0,0,56,11,13,0,0,0,0,0,1,0,NONAT
0,13,0,2,0,0,0,21,4,2,4,2,2,138,47,77,4,0,0,0,0,2,0,NONAT
0,12,0,0,0,0,0,15,0,0,0,0,0,175,30,62,0,0,0,0,0,0,0,NONAT
0,25,0,0,0,0,0,46,8,0,7,0,0,54,8,20,0,0,0,1,0,1,0,NONAT
0,27,0,3,0,0,0,49,0,0,13,2,0,200,60,94,0,0,0,0,0,1,0,NONAT
0,0,0,3,0,0,0,7,0,0,0,2,5,174,40,65,2,0,0,0,0,1,0,NONAT
0,7,0,4,0,0,0,16,0,0,0,2,10,504,171,266,3,0,0,0,0,1,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,67,15,18,0,0,0,0,0,1,0,NONAT
0,14,0,5,0,0,0,11,9,5,11,13,4,685,179,236,3,0,0,0,0,2,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,8,0,0,0,0,0,1,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,14,0,0,0,0,0,0,0,NONAT
0,3,0,0,0,0,0,1,0,0,0,0,2,63,29,40,2,0,0,0,0,1,0,NONAT
0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NONAT
0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,2,0,50,24,33,0,0,0,0,0,0,0,NONAT
0,0,3,3,0,0,0,33,43,24,26,15,5,237,89,168,4,0,0,0,0,1,0,NONAT
0,0,0,2,0,0,0,34,0,0,0,0,2,283,15,22,2,0,0,0,0,0,0,NONAT
0,8,0,0,0,0,0,12,2,0,4,0,5,105,18,19,6,0,0,0,0,0,0,NONAT
0,3,0,2,0,0,0,27,0,0,0,2,6,252,35,48,3,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,6,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,NONAT
0,55,0,4,0,0,0,63,64,58,51,0,0,105,33,34,2,0,0,2,0,0,0,NONAT
0,13,0,0,0,0,0,28,12,12,10,0,0,58,5,7,0,0,0,0,0,0,0,NONAT
0,12,0,2,0,0,0,12,0,4,1,0,0,6,3,24,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NONAT
0,28,5,15,0,0,3,61,175,142,91,107,11,1146,165,245,13,0,0,0,1,0,0,NONAT
0,28,0,7,0,0,12,29,1,1,0,28,14,728,126,167,13,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,2,0,55,9,12,0,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,8,0,0,3,4,0,27,9,11,0,0,0,0,0,0,0,NONAT
0,2,0,1,0,0,0,1,7,0,9,0,2,0,1,1,2,0,0,9,0,0,0,NONAT
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,NONAT
0,7,0,5,0,0,0,8,1,1,1,2,2,0,0,0,5,0,0,6,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,NONAT
0,8,0,0,0,0,0,10,0,0,0,2,0,76,18,16,0,0,0,0,0,0,0,NONAT
0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,NONAT
